,country,yob,direct_correlation,indirect_correlation,same_correlation
1027,China,1937,-0.2981901551995078,-0.05752709148238031,True
1028,China,1938,-0.7510202894859392,-0.06628440185540073,True
1029,China,1939,-0.9728434658929132,-0.05292755990065568,True
1030,China,1940,-1.208376972343172,-0.07856867121968819,True
1031,China,1941,-1.3936973271449524,-0.07608227571145339,True
1032,China,1942,-1.4803496804337406,-0.09349161183003224,True
1033,China,1943,-1.5346107131878246,-0.08379931172839858,True
1034,China,1944,-1.3161339169869777,-0.06435977159587028,True
1035,China,1945,-1.050323021524204,-0.0399461506574291,True
1036,China,1946,-0.7210176619790869,-0.04576342240561404,True
1037,China,1947,-0.8734124887478724,-0.07164703993379577,True
1038,China,1948,-0.922778060045792,-0.0731005524956224,True
1039,China,1949,0.7475715938777173,0.029406008862675324,True
1040,China,1950,0.0584439779669645,-0.03477436441444292,False
1041,China,1951,-0.12624698838484502,-0.02584104749251273,True
1042,China,1952,-0.7299392108562123,-0.06780534427448573,True
1043,China,1953,-0.613072657132062,-0.07079455924826543,True
1044,China,1954,-0.3588911298391245,-0.05244933459179021,True
1045,China,1955,-0.5313172622155452,-0.04923045291402255,True
1046,China,1956,-0.7075051439853669,-0.07256842214976364,True
1047,China,1957,-0.6664947657791881,-0.052976418124987684,True
1048,China,1958,-0.455478486056117,-0.06574944757076771,True
1049,China,1959,-0.01062813872249789,-0.03562550764493815,True
1050,China,1960,-0.4089396076509487,-0.07412810574920264,True
1051,China,1961,-0.5711932194473684,-0.06892768500007643,True
1052,China,1962,-0.5089418947231538,-0.05855984335938995,True
1053,China,1963,-0.5892737284194522,-0.06746827142038248,True
1054,China,1964,-0.32372519468367594,-0.0601721604629383,True
1055,China,1965,-0.2351007120820905,-0.07558565235129333,True
1056,China,1966,-0.12216735248381293,-0.05450823133156305,True
1057,China,1967,-0.7291311968198022,-0.0857133714126606,True
1058,China,1968,-0.3408338190684312,-0.04758658607311455,True
1059,China,1969,-0.2257185075884403,-0.08112508939339899,True
1060,China,1970,-0.2284957516330523,-0.08234183348608799,True
1061,China,1971,-0.3216811329314039,-0.07851621845650812,True
1062,China,1972,-0.25877672504142685,-0.06587477618947774,True
1063,China,1973,-0.5502238830078934,-0.11915782425331535,True
1064,China,1974,-0.4506981999894147,-0.08292104982792106,True
1065,China,1975,-0.2872484609723788,-0.06419632806553477,True
1066,China,1976,-0.3571843266460682,-0.039224357340987566,True
1067,China,1977,-0.4520575039579277,-0.07504062598971542,True
1068,China,1978,0.1723142863084168,-0.041509315018267406,False
1069,China,1979,0.057202883791448,-0.030966647926733083,False
1070,China,1980,0.15955614093725887,-0.05666797986044636,False
1071,China,1981,-0.2916876903673234,-0.05598173714370325,True
1072,China,1982,-0.4930975561591816,-0.0902977973954465,True
1073,China,1983,-0.3069133355838572,-0.05418411092464908,True
1074,China,1984,-0.03864685990040105,-0.05198581301181336,True
1075,China,1985,-0.20914736768827288,-0.05466822388948592,True
1076,China,1986,-0.19822683521802106,-0.058995713078800326,True
1077,China,1987,-0.05618521434398074,-0.0672625870767112,True
1078,China,1988,0.007012351144454871,-0.03679251201504713,False
