,sport,occupation,direct_correlation,indirect_correlation,same_correlation
364,table tennis,photographer,-0.13245660582148056,-0.06303042696927122,True
365,table tennis,pilot,-0.21630173234850134,-0.37177065790987823,True
366,table tennis,policeman,-0.04738422646121476,-0.4147055581980544,True
367,table tennis,politician,0.14938781464891482,-0.028616717017561737,False
368,table tennis,professor,-0.3782923501757933,-0.2904944758610936,True
369,table tennis,programmer,0.003980041263479904,-0.25456735856578394,False
370,table tennis,psychologist,-0.433709086181525,0.20379482611589286,False
371,table tennis,scientist,-0.5364885656125619,-0.1370930071034983,True
372,table tennis,scholar,0.10306662670835494,-0.00440582806803572,False
373,table tennis,secretary,0.28931072136778874,0.4297351406970677,True
374,table tennis,server,0.7084816350255527,-0.0931838765178712,False
375,table tennis,singer,-0.5718828647275409,0.3226265479960468,False
376,table tennis,soldier,-0.29803485979258315,-0.4371441945162974,True
377,table tennis,surgeon,-0.06633940881741374,-0.33752170648044644,True
378,table tennis,teacher,-0.07362952705687979,0.13144196718433654,False
379,table tennis,therapist,-0.5606696152750451,0.3392314877525747,False
380,table tennis,translator,-0.5090597876961842,0.021047279648619438,False
381,table tennis,waiter,0.6914407385494029,-0.37402435990446375,False
382,table tennis,waitress,0.5290564207551447,0.3880889899253619,True
383,table tennis,warrior,-1.605171116921439,-0.19967500966530505,True
384,table tennis,writer,-0.7159117267321213,0.1957405350143457,False
385,martial arts,accountant,-0.09261415089457853,0.026528684311275613,False
386,martial arts,architect,-0.4919436629436008,0.1649083988435481,False
387,martial arts,artist,-0.0888465680950507,0.007013946038548918,False
388,martial arts,attorney,-0.3672034894243639,0.07498974840186964,False
389,martial arts,banker,-0.1269397359824458,0.13019889220940925,False
390,martial arts,bartender,0.29920006573344143,0.015206282946936002,True
391,martial arts,broadcaster,-0.6834303121046142,0.03766881544747636,False
392,martial arts,builder,-0.5262859222258954,0.12665869970178947,False
393,martial arts,businessman,0.14501873008545296,0.1862193117927028,True
394,martial arts,butcher,-0.12220434925868673,0.04556911294480152,False
